trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,6,-63.09532350574872,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,12,-102.60015670386642,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-42.9940857771437,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-90.68444735800637,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,7,-127.55381751000343,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 3}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-86.85149768840908,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-117.41612434904158,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,3,-141.49617801098842,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 3}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-89.96603936095808,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-81.35694751253511,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-35.55284841961761,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-52.834506696773225,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-42.71476964884241,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,0,-104.7481098519802,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-93.32396116066045,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,3,-83.50163934730303,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-64.7841666124286,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,3,-103.64547059955329,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,12,-39.88173852365439,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",25,0,-45.94153340644066,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,12,-4.724675932881167,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-73.63832712676604,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-16.767265182814537,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,0,-150.95204026361142,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",30,0,-55.71750953558851,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-25.839344961448056,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,15,-59.700520169559944,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,8,-63.3726198221519,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-186.59184853944788,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,10,-62.375972295200604,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,-95.28263148823271,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-111.15661884919585,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,13,-11.25165998566094,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-16.068459883720735,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,2,-149.38571067263268,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 3}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-61.09671465945706,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,5,-46.54516993983632,"{0: 7, 1: 4, 2: 4, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,13,-89.41004588545024,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,9.235279900921213,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,18,11.585884889592936,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,-33.71734649951646,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,11,-91.50739642257889,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,4,-31.412262494692726,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,16,-68.83379666154025,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,0,-30.91958555627581,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.497571047891727}",30,7,-87.9097714814509,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,0,-13.256184572827769,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,8,-1.6131562991224038,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,11,-8.229855934670393,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,3,-26.540978649878404,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,15,1.5924485266093678,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,10,15.420460592646268,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,17,5.016800987697623,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",35,21,-1.0115703668787133,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-7.865988320670389,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,20,6.484733409801681,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,5,15.56250419662568,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",30,3,-9.733296020890629,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",25,9,2.4579698025736336,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",30,17,-14.793337773280154,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",30,12,-13.298237039767034,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
